상호명,주소,카테고리_대,카테고리_소,위도,경도
럭키슈퍼,서울특별시 금천구 시흥대로 143 143 신라상가,생활/편의,슈퍼마켓,37.4469166818268,126.903082919624
세븐일레븐시립대,서울특별시 동대문구 서울시립대로 160 160,생활/편의,편의점,37.5834188606815,127.054547317055
D동커피집,서울특별시 중구 남대문시장4길 9 9 대도종합,생활/편의,슈퍼마켓,37.5596610992437,126.977669639015
고향기름집,서울특별시 동작구 동작대로15가길 28 28 좌측,생활/편의,반찬/식료품 소매업,37.4814537960024,126.97640403091
크린토피아광진자양우성7차점,서울특별시 광진구 아차산로36길 35 35 자양우성7차,생활/편의,세탁소,37.5370789554887,127.074099043591
서울플러스치과의원,서울특별시 영등포구 당산로 42 42 홈플러스,의료,치과의원,37.5182343870509,126.895887004925
홈런마트,서울특별시 강동구 구천면로33길 31 31,생활/편의,슈퍼마켓,37.5424824134234,127.129346032706
밸류업플러스,서울특별시 영등포구 선유로 258 258 두정빌딩,생활/편의,슈퍼마켓,37.5353370283126,126.897752719932
롯데세탁소,서울특별시 성동구 성수일로12길 52 52,생활/편의,세탁소,37.5466033774864,127.05621787929
양지식품,서울특별시 영등포구 여의대방로59나길 2 2,생활/편의,슈퍼마켓,37.5147498597563,126.922371326787
아이스크림천국,서울특별시 동대문구 서울시립대로12길 23 23,생활/편의,슈퍼마켓,37.5783297293696,127.05123793156
미니스톱도봉,서울특별시 도봉구 해등로 286-5 286 우성1차,생활/편의,편의점,37.6577334431173,127.024161622952
임동석트레이너,서울특별시 강동구 천중로 147 147 성심하이빌,운동 시설,헬스장,37.5415908231052,127.136982274809
서울남부두레소비자생활협동조합,서울특별시 구로구 도림로12길 27 27 명칭없음,생활/편의,반찬/식료품 소매업,37.4865673606127,126.889610392142
아름다운센터,서울특별시 광진구 아차산로78길 72 72 학산코스모스텔,운동 시설,요가/필라테스 학원,37.5513404149003,127.110428485926
전라도김치,서울특별시 금천구 독산로39길 33 33,생활/편의,반찬/식료품 소매업,37.4581619589864,126.903859595181
