상호명,주소,카테고리_대,카테고리_소,위도,경도
씨스페이스자양,서울특별시 광진구 동일로4길 21 21,생활/편의,편의점,37.5364010404771,127.062240824173
크린업24,서울특별시 은평구 진관4로 17 17 은평뉴타운상림마을8단지,생활/편의,세탁소,37.6446546253384,126.921601809783
우리짐상도점,서울특별시 동작구 만양로 5-1 5 명칭없음,운동 시설,헬스장,37.5052845854301,126.946278645693
피브로한의원,서울특별시 서초구 신반포로 162 162 르본시티,의료,한의원,37.5048913265292,127.002284559382
더한별이비인후과,서울특별시 송파구 송파대로 365 365,의료,이비인후과 의원,37.5004151675176,127.111099840973
석상엽골프아카데미,서울특별시 용산구 대사관로34길 41 41,운동 시설,골프 연습장,37.5314888133867,127.006030209991
바비테니스,서울특별시 강동구 올림픽로 630 630 양서빌딩,운동 시설,테니스장,37.537749474766,127.123442922608
제이앤케이의원,서울특별시 강남구 도산대로 120 120 청호빌딩,의료,피부/비뇨기과 의원,37.516737531523,127.02187641658
삼성안과의원,서울특별시 송파구 올림픽로 114 114 서경빌딩,의료,안과 의원,37.5113853293142,127.083190041516
좋은습관아현,서울특별시 서대문구 신촌로 235 235,운동 시설,헬스장,37.5574370614913,126.952149033001
태양당슈퍼,서울특별시 용산구 새창로 132 132,생활/편의,슈퍼마켓,37.5357083002205,126.961237030032
세븐송파최고점,서울특별시 송파구 백제고분로45길 22 22,생활/편의,편의점,37.5100395433129,127.109338360177
아비쥬의원홍대,서울특별시 마포구 양화로 162 162 좋은사람들빌딩,의료,기타 의원,37.5564311227607,126.923878603898
일아슈퍼,서울특별시 도봉구 도봉로181길 34 34 지층,생활/편의,슈퍼마켓,37.6843606817191,127.043987147045
얼음왕국아이스크림할인점풍납1,서울특별시 송파구 풍성로25길 22-1 22,생활/편의,슈퍼마켓,37.5353644044682,127.120949846541
씨유홍은,서울특별시 서대문구 홍은중앙로3길 9 9 북한산두산위브1차,생활/편의,편의점,37.5990056544131,126.944659954774
서울송마취통증의학과,서울특별시 용산구 한강대로 92 92 LS용산타워,의료,기타 의원,37.5281778252738,126.967519760974
동양세탁소,서울특별시 동대문구 천장산로7길 19 19,생활/편의,세탁소,37.5983021877763,127.056800297284
지에스25중화타운점,서울특별시 중랑구 중랑천로 123 123,생활/편의,편의점,37.5962036394673,127.071926903203
신흥슈퍼,서울특별시 강동구 구천면로 385 385,생활/편의,슈퍼마켓,37.5509017606608,127.141548602599
다복마트,서울특별시 양천구 신정중앙로 37 37,생활/편의,슈퍼마켓,37.5275719167112,126.855995294033
시원레저개발,서울특별시 강서구 공항대로 164 164 류마타워,운동 시설,골프 연습장,37.5593180368306,126.825511677107
무림아이합기도，검도,서울특별시 성동구 행당로 79 79 대림이편한세상아파트,운동 시설,태권도/무술학원,37.558200392549,127.027502137728
벽산세탁소,서울특별시 양천구 월정로9길 13 13,생활/편의,세탁소,37.524974211622,126.839811784302
뉴욕원필라테스,서울특별시 서대문구 통일로9안길 28 28,운동 시설,요가/필라테스 학원,37.5660912387166,126.965341387929
코센,서울특별시 구로구 개봉로 21-1 21,생활/편의,슈퍼마켓,37.487657468154,126.856026719085
이마트24응암스카이점,서울특별시 은평구 백련산로4길 10 10,생활/편의,편의점,37.5946514827754,126.924156740028
씨유방화오피스,서울특별시 강서구 개화동로29길 14 14 공항타워팰리스오피스텔,생활/편의,편의점,37.5632453871594,126.807483465242
세븐일레븐화곡,서울특별시 강서구 초록마을로 3 3,생활/편의,편의점,37.5450825420757,126.845075857983
대한명인세탁,서울특별시 동작구 사당로23바길 9 9 삼성래미안아파트,생활/편의,세탁소,37.4896062595415,126.96918734896
베스트에스지주,서울특별시 강서구 공항대로 411 411 베스틴빌딩,운동 시설,골프 연습장,37.5562836646165,126.853484173574
라온휘트니스,서울특별시 용산구 효창원로 132 132 외,운동 시설,헬스장,37.5397719879247,126.961778044782
한성슈퍼,서울특별시 송파구 바람드리길 62 62,생활/편의,슈퍼마켓,37.5366964253775,127.122366309734
가마솥김구이,서울특별시 강북구 도봉로67길 18 18,생활/편의,반찬/식료품 소매업,37.6307312477932,127.022668813232
제이에스골프,서울특별시 구로구 경인로 397 397 골든타워빌딩,운동 시설,골프 연습장,37.4976949783901,126.863878240404
현미세탁소,서울특별시 서대문구 포방터길 68 68,생활/편의,세탁소,37.5996655408348,126.949483502404
지에스25신당역점,서울특별시 중구 퇴계로 457 457 올리브II오피스텔,생활/편의,편의점,37.5656256398797,127.022626432053
당신의요가,서울특별시 강서구 마곡중앙5로 87 87 우성르보아투,운동 시설,요가/필라테스 학원,37.5671720363649,126.817773735336
짐에이엔,서울특별시 양천구 중앙로 224 224,운동 시설,요가/필라테스 학원,37.5166412368733,126.854749416954
성동두레소비자생활협동조합,서울특별시 성동구 금호로 110 110 정문상가,생활/편의,슈퍼마켓,37.5546514742408,127.022747603074
다와마트,서울특별시 관악구 남부순환로157길 63 63 신림종합시장,생활/편의,슈퍼마켓,37.4846075815746,126.917031871317
지에스25창동삼성,서울특별시 도봉구 노해로66길 21 21 삼성래미안아파트,생활/편의,편의점,37.6503924240969,127.047332627519
초심할인마트,서울특별시 구로구 서해안로 2108 2108 아이온타워2,생활/편의,슈퍼마켓,37.4806224820684,126.824134602488
필라마인드마포,서울특별시 마포구 도화길 28 28 삼성아파트,운동 시설,요가/필라테스 학원,37.5396052493812,126.949625884165
에이치필라테스,서울특별시 노원구 월계로 296-14 296 월계문화체육센터,운동 시설,요가/필라테스 학원,37.6266753578519,127.054612896782
씨유고덕,서울특별시 강동구 상일로 55 55 고덕자이근린생활시설,생활/편의,편의점,37.5521519808755,127.170465459128
세븐당고개점주,서울특별시 노원구 상계로 299 299,생활/편의,편의점,37.6701614104618,127.078413680022
서울세계로병원,서울특별시 송파구 위례서로 248 248 세계로병원,의료,일반병원,37.4866414004266,127.142263983208
더제일식품,서울특별시 구로구 부광로 96-5 96 에이스캠프,생활/편의,반찬/식료품 소매업,37.476378183204,126.817824837201
GS25논현금옥점,서울특별시 강남구 강남대로132길 48 48 금옥빌딩,생활/편의,편의점,37.5129436765749,127.025042365284
한냉매점,서울특별시 동작구 노들로 674 674,생활/편의,슈퍼마켓,37.5146502887397,126.936702682532
일진마트,서울특별시 노원구 월계로 339 339,생활/편의,편의점,37.6297551750274,127.05787778504
가로판매점,서울특별시 은평구 통일로 605 605,생활/편의,슈퍼마켓,37.6005507005305,126.935486238445
여여요가스튜디오,서울특별시 서초구 효령로 403 403 그랑몰,운동 시설,요가/필라테스 학원,37.4890757806584,127.026187741436
세븐논현13호점주,서울특별시 강남구 학동로43길 14 14,생활/편의,편의점,37.5170579629026,127.03750905205
아프로브라질리안컬처센터,서울특별시 용산구 서빙고로 17 17 용산센트럴파크,운동 시설,태권도/무술학원,37.5258983278588,126.967656503733
휴먼피부과의원,서울특별시 용산구 서빙고로 17 17,의료,피부/비뇨기과 의원,37.5258983278588,126.967656503733
국가대표길가온태권도장,서울특별시 영등포구 신길로28길 9 9 힐스테이트클래시안상가,운동 시설,태권도/무술학원,37.5042549475268,126.912067838592
쉴드짐,서울특별시 중랑구 봉화산로 61 61,운동 시설,헬스장,37.6017836840486,127.081320160158
루미니빨래방,서울특별시 용산구 원효로97길 15 15,생활/편의,셀프 빨래방,37.5413239121035,126.969335806314
대성TS,서울특별시 송파구 충민로 66 66 가든파이브라이프,생활/편의,세탁소,37.4791111973431,127.124318699036
닥터효내과의원,서울특별시 용산구 서빙고로 17 17 용산센트럴파크,의료,내과/소아과 의원,37.5258983278588,126.967656503733
필라테스.L,서울특별시 강서구 강서로 43-17 43 오거닉스타워,운동 시설,요가/필라테스 학원,37.531101135448,126.846688691783
씨유성북센터피스점,서울특별시 성북구 숭인로 50 50,생활/편의,편의점,37.6104039237,127.027566651992
웃는얼굴치과의원,서울특별시 서초구 효령로 403 403,의료,치과의원,37.4890757806584,127.026187741436
오레시피서울돈암점,서울특별시 성북구 아리랑로 75 75 코오롱하늘채상가,생활/편의,반찬/식료품 소매업,37.599738811884,127.011992159853
예찬리테일,서울특별시 강서구 강서로 242 242 강서힐스테이트상가,생활/편의,슈퍼마켓,37.5473869110847,126.836765067321
이마트24개포래미안점,서울특별시 강남구 선릉로 8 8 내상가,생활/편의,편의점,37.4813034131416,127.064467628013
다있다아이스크림할인점일원동점,서울특별시 강남구 광평로10길 15 15 상록수아파트,생활/편의,슈퍼마켓,37.4828953326073,127.083441103285
CU자양,서울특별시 광진구 아차산로 345 345 래미안프리미어팰리스상가,생활/편의,편의점,37.5376776095098,127.081703078784
스타수퍼키즈,서울특별시 서초구 고무래로10길 17 17 호빌딩,운동 시설,헬스장,37.5012057732962,127.010449649034
스핀골프아카데미,서울특별시 송파구 충민로 52 52 가든파이브웍스,운동 시설,골프 연습장,37.4776895185874,127.122484837944
노블레스세탁소,서울특별시 강남구 도산대로85길 30 30 청담신원아침도시마인,생활/편의,세탁소,37.5264329110221,127.049675167149
연세네이처치과의원,서울특별시 중구 서소문로 120 120 ENA센터,의료,치과의원,37.5629040745958,126.974635322885
봉에프엔비,서울특별시 강남구 밤고개로26길 50 50 강남한신휴플러스제상가,생활/편의,편의점,37.468723398093,127.10486950111
아이스크림살래,서울특별시 강동구 상일로 55 55 자이상가,생활/편의,슈퍼마켓,37.5521519808755,127.170465459128
백양세탁소,서울특별시 용산구 청파로93길 47 47,생활/편의,세탁소,37.553738867166,126.966365646075
세븐일레븐자양타운점,서울특별시 광진구 뚝섬로57길 39 39 형제빌딩,생활/편의,편의점,37.5333430917695,127.082716609313
세븐롯데시티호텔명동점,서울특별시 중구 삼일대로 362 362,생활/편의,편의점,37.5670958137317,126.987922522463
해바,서울특별시 양천구 목동서로 355 355,운동 시설,요가/필라테스 학원,37.5172022668249,126.864351834412
강일S짐킥복싱클럽,서울특별시 강동구 상일로 132 132,운동 시설,태권도/무술학원,37.5589441620244,127.171386359762
런앤런지에스25봉은사점,서울특별시 강남구 봉은사로 535 535,생활/편의,편의점,37.5144184107899,127.058682178248
씨유공덕SK리더스뷰점,서울특별시 마포구 백범로31길 8 8 공덕SK리더스뷰단지,생활/편의,편의점,37.5449932059212,126.949576995943
민준에스피,서울특별시 구로구 고척로40길 10 10,생활/편의,슈퍼마켓,37.5027790547209,126.850942398557
새생명내과,서울특별시 관악구 난곡로 316 316 진성타워,의료,내과/소아과 의원,37.482173226794,126.914739390004
지에스압구정유림점,서울특별시 강남구 압구정로28길 49 49,생활/편의,편의점,37.5232595703681,127.027704243737
요가라테스,서울특별시 용산구 한강대로 178 178,운동 시설,요가/필라테스 학원,37.5342970619286,126.973253375598
지에스25청담우리,서울특별시 강남구 학동로77길 18 18,생활/편의,편의점,37.5198739356562,127.048901605374
세븐노유점주,서울특별시 광진구 동일로 44-10 44,생활/편의,편의점,37.5364555270246,127.061426228093
지에스25장위,서울특별시 성북구 장위로15길 34-2 34 우측,생활/편의,편의점,37.6155081795111,127.042270244744
지에스25동덕여대,서울특별시 성북구 화랑로13길 42 42 명칭없음,생활/편의,편의점,37.605110939788,127.041777391909
지에스25동여의점,서울특별시 영등포구 여의대방로65길 23 23 포레스텔빌딩,생활/편의,편의점,37.5201329008022,126.928802276885
포이즌의원,서울특별시 성북구 아리랑로 3 3 우성빌딩,의료,피부/비뇨기과 의원,37.593025927816,127.016169278477
마마운동화이불빨래방,서울특별시 마포구 토정로 224 224,생활/편의,셀프 빨래방,37.5445178736746,126.935568501775
위대태껸무도체육,서울특별시 은평구 갈현로31길 10-9 10 좌측,운동 시설,태권도/무술학원,37.6204405713333,126.915000844473
쌍용마트,서울특별시 성동구 상원길 63 63 쌍용아파트,생활/편의,슈퍼마켓,37.5501302668477,127.047110720925
크린토피아,서울특별시 은평구 서오릉로17길 13-18 13,생활/편의,세탁소,37.6140661245738,126.909016535359
크린월드,서울특별시 양천구 지양로3길 9-1 9,생활/편의,세탁소,37.5184094858146,126.835855402057
버스카드충전소,서울특별시 강남구 테헤란로114길 11 11 노상,생활/편의,반찬/식료품 소매업,37.5093683029957,127.067104452891
지에스25개포,서울특별시 강남구 논현로8길 21 21,생활/편의,편의점,37.474462556452,127.050454718357
충북상회,서울특별시 성북구 돌곶이로27길 62 62,생활/편의,슈퍼마켓,37.6107918981561,127.05250602267
연세SL의원,서울특별시 강남구 논현로 833 833 재경빌딩,의료,피부/비뇨기과 의원,37.5228270439037,127.027896394712
모비딕스크린,서울특별시 송파구 오금로11길 7 7,운동 시설,골프 연습장,37.5145548357574,127.107964986509
서울가정행정법원청사후생시설운영위원회,서울특별시 서초구 강남대로 193 193,생활/편의,슈퍼마켓,37.4812433773441,127.03619093651
하얀세탁소,서울특별시 강서구 강서로13길 21 21,생활/편의,세탁소,37.5319193622934,126.845397247278
기쁜가정의학과의원,서울특별시 노원구 노원로 257 257 인정빌딩,의료,기타 의원,37.6402614331855,127.072762470662
서울아름다운치과의원,서울특별시 서대문구 통일로34길 43 43 홍제원현대아파트,의료,치과의원,37.5883307666091,126.948789180545
DMC연세의원,서울특별시 마포구 월드컵북로 361 361 디엠시상암제2단지,의료,기타 의원,37.5771015843615,126.891401381964
씨유성북종암파크점,서울특별시 성북구 종암로 89 89,생활/편의,편의점,37.5982567459174,127.034526316928
중앙상회,서울특별시 종로구 창덕궁길 162 162,생활/편의,슈퍼마켓,37.5831514353631,126.986957599257
탑크린,서울특별시 강남구 강남대로84길 15 15 강남역효성해링턴타워더퍼스트,생활/편의,세탁소,37.4970128068829,127.029764002344
동작성모이비인후과의원,서울특별시 동작구 상도로 345 345,의료,이비인후과 의원,37.4978450125479,126.952673354917
세탁풍경,서울특별시 구로구 남부순환로105가길 20 20,생활/편의,셀프 빨래방,37.4797227041697,126.892876561066
세븐일레븐서울여고점,서울특별시 마포구 백범로25길 25 25,생활/편의,편의점,37.5470823676224,126.946938944465
현대상회현대종합설비,서울특별시 용산구 우사단로10길 68 68,생활/편의,슈퍼마켓,37.5322548145805,126.999049638237
숲태권도장,서울특별시 중랑구 양원역로14길 19 19 DS프라자,운동 시설,태권도/무술학원,37.6070334302919,127.107611532558
닥터로빈의원,서울특별시 강남구 테헤란로64길 20 20 원동방빌딩,의료,피부/비뇨기과 의원,37.5036188166507,127.051265997783
좋은식품,서울특별시 동대문구 이문로16길 11 11,생활/편의,반찬/식료품 소매업,37.5941023164057,127.059344821751
명성세탁,서울특별시 관악구 남부순환로200가길 7 7,생활/편의,세탁소,37.4832775344691,126.937226641751
세븐강남자곡점,서울특별시 강남구 밤고개로 223 223 강남센터,생활/편의,편의점,37.47439795132,127.106889736727
관리의기술,서울특별시 중구 마장로 58 58 솔하임,운동 시설,헬스장,37.5677350055021,127.016356236308
GS２５,서울특별시 마포구 양화로 156 156 LG팰리스빌딩,생활/편의,편의점,37.5561064858956,126.923448871669
씨유신길성애점,서울특별시 영등포구 영등포로72길 18 18 그랜드하임,생활/편의,편의점,37.5124586592062,126.918437527961
세븐일레븐종로인의점,서울특별시 종로구 종로31길 27 27,생활/편의,편의점,37.5720699255987,126.999524566268
인아치과,서울특별시 구로구 서해안로 2098 2098 항동프라자,의료,치과의원,37.4798736363876,126.823458002643
세븐일레븐천왕이펜하우스,서울특별시 구로구 천왕로 9 9 천왕이펜하우스6단지,생활/편의,편의점,37.4790172474999,126.842261540578
현대슈퍼,서울특별시 영등포구 도신로17길 10 10,생활/편의,슈퍼마켓,37.5068215564034,126.899216682876
GS25영등포타운점,서울특별시 영등포구 당산로20길 9-2 9,생활/편의,편의점,37.5234975424527,126.897372942019
금성사,서울특별시 금천구 독산로67길 18 18,생활/편의,세탁소,37.4649986185953,126.901409245939
맑을아의원,서울특별시 노원구 노해로81길 5-6 5 노원스퀘어,의료,내과/소아과 의원,37.6552056332974,127.062475847002
하이안과,서울특별시 강남구 도산대로 119 119,의료,안과 의원,37.5173232605459,127.021458059268
씨유방학,서울특별시 도봉구 시루봉로 194 194,생활/편의,편의점,37.6664800106238,127.032347731094
더블유짐상도점,서울특별시 동작구 상도로 311 311,운동 시설,헬스장,37.5003399139149,126.950511758954
쌍용세탁소,서울특별시 관악구 미성길 122 122 쌍용아파트,생활/편의,세탁소,37.4728278802777,126.912172497634
크린토피아,서울특별시 성북구 아리랑로6길 4 4,생활/편의,세탁소,37.5965128339897,127.015660473105
이준규치과의원,서울특별시 송파구 성내천로 224 224,의료,치과의원,37.4994321651328,127.152319210702
오라쁘띠의원,서울특별시 성북구 아리랑로 18 18,의료,산부인과 의원,37.5945215538548,127.016316804339
연세슈퍼,서울특별시 서대문구 홍연8길 3 3,생활/편의,슈퍼마켓,37.5766540564018,126.931363541972
찬에밥한공기,서울특별시 양천구 월정로 165 165,생활/편의,반찬/식료품 소매업,37.5335284598426,126.835980668147
서울특별시장애인치과병원,서울특별시 성동구 마장로 207 207,의료,치과병원,37.5667044462291,127.032802573904
성우마트,서울특별시 용산구 장문로 113-1 113,생활/편의,슈퍼마켓,37.5267316609462,127.002036339339
삼성24시셀프빨래방;수선,서울특별시 동작구 상도로15길 103 103,생활/편의,셀프 빨래방,37.5045498443453,126.936360611883
e조은치과의원,서울특별시 강북구 솔샘로 233 233,의료,치과의원,37.6204245897198,127.019097622387
썬스크린골프,서울특별시 광진구 뚝섬로 585 585 신축빌딩,운동 시설,골프 연습장,37.5335914783206,127.075057285574
하상현치과의원,서울특별시 서초구 방배로 91 91 신진빌딩,의료,치과의원,37.4824291959279,126.996709862811
준스포츠앤컴퍼니,서울특별시 용산구 효창원로 177-15 177,운동 시설,태권도/무술학원,37.5440426852716,126.961651392826
윤가정의학과의원,서울특별시 관악구 장군봉1길 56 56 우형빌딩,의료,기타 의원,37.4814064144391,126.943107409079
다인치과의원,서울특별시 은평구 증산로 399 399 백상빌딩,의료,치과의원,37.5919321892735,126.913527338326
크로스핏라온,서울특별시 광진구 아차산로 294 294,운동 시설,헬스장,37.5381862745995,127.075537109277
보라사,서울특별시 관악구 관천로10길 14 14,생활/편의,세탁소,37.485073150628,126.926155870646
미포유필라테스,서울특별시 강서구 공항대로 425 425,운동 시설,요가/필라테스 학원,37.5554110987465,126.854617614023
엠마트,서울특별시 관악구 봉천로12길 39 39 가야위드안,생활/편의,슈퍼마켓,37.4870217341148,126.930111403777
연세큐원피부과의원,서울특별시 동작구 상도로 58 58 올리브빌딩,의료,피부/비뇨기과 의원,37.4995617862458,126.926865374429
지에스25금천은하수점,서울특별시 금천구 시흥대로90길 16 16,생활/편의,편의점,37.4612124576387,126.899142291339
봄날애의원,서울특별시 동대문구 장한로25길 2 2,의료,피부/비뇨기과 의원,37.5718773135194,127.071122434393
관악주짓수,서울특별시 관악구 보라매로 14 14,운동 시설,태권도/무술학원,37.490678318388,126.927609027546
강남퍼스트재활의학과의원,서울특별시 강남구 개포로 504 504 메트하임,의료,기타 의원,37.4890505682709,127.067188039462
아이스크림판다동원,서울특별시 중랑구 상봉로12길 4 4,생활/편의,슈퍼마켓,37.590403812099,127.093932502113
무에타이구심캠프,서울특별시 동대문구 이문로12길 3-9 3,운동 시설,태권도/무술학원,37.5939043308346,127.058880415144
모아세탁소,서울특별시 중랑구 공릉로4길 24 24,생활/편의,세탁소,37.6131194417868,127.079395744856
우리할인마트,서울특별시 은평구 연서로26길 16 16,생활/편의,슈퍼마켓,37.6165343601311,126.920861135707
씨유광장현대점,서울특별시 광진구 아차산로69길 19 19 광장현대9차,생활/편의,편의점,37.5429991530813,127.097969187811
해율한의원,서울특별시 양천구 오목로 345 345 목동슬로우스퀘어,의료,한의원,37.5247833010923,126.875820494267
미니스톱정릉타운점,서울특별시 성북구 서경로18길 6 6 두현빌딩,생활/편의,편의점,37.6103701424476,127.015063118661
세븐비즈센터점주,서울특별시 영등포구 양산로 53 53,생활/편의,편의점,37.5256342788916,126.888919334365
이움필라테스,서울특별시 동대문구 한천로11길 16 16 빌딩,운동 시설,요가/필라테스 학원,37.5673597116473,127.061519511569
머슬스푼,서울특별시 마포구 마포대로10길 12 12 트레퍼빌딩,운동 시설,헬스장,37.5470403938381,126.954294415613
규림한의원,서울특별시 송파구 올림픽로 119 119 잠실파인애플상가,의료,한의원,37.5120874067389,127.0841861696
동진카운티스포츠센터주,서울특별시 영등포구 여의대방로61길 55 55,운동 시설,골프 연습장,37.5156593121476,126.921522035611
몸가짐PT&필라테스,서울특별시 광진구 천호대로111길 9 9,운동 시설,요가/필라테스 학원,37.5569137436458,127.081973062906
GS25,서울특별시 서초구 방배로 102-4 102,생활/편의,편의점,37.483330209569,126.996890726488
건강한가정의학과의원,서울특별시 강서구 곰달래로25길 33 33,의료,기타 의원,37.5321670697271,126.848824819423
아이스빌리지,서울특별시 서대문구 세무서길 37 37 우측,생활/편의,슈퍼마켓,37.589707887385,126.945663221417
라인피부과,서울특별시 서초구 강남대로 543 543 국전빌딩,의료,피부/비뇨기과 의원,37.5103675468935,127.021252478443
골든짐,서울특별시 송파구 올림픽로 106 106 상록빌딩,운동 시설,헬스장,37.5113947837411,127.082556654039
서울하이안치과의원,서울특별시 관악구 남현길 7 7 한얼프라자,의료,치과의원,37.4760660128656,126.977705840688
대길한의원,서울특별시 송파구 충민로2길 26 26 대진프라자,의료,한의원,37.4774320848855,127.127357111315
GS25서초서일점,서울특별시 서초구 남부순환로339길 27 27,생활/편의,편의점,37.4842652295857,127.022115689971
GS25중랑갤러리,서울특별시 중랑구 신내로 225 225 디아뜨갤러리,생활/편의,편의점,37.6169670149357,127.091360778687
더싸다마트,서울특별시 성북구 돌곶이로37길 23 23 장미원빌라2차,생활/편의,슈퍼마켓,37.6163981490544,127.047548928532
숲정신건강의학과의원,서울특별시 종로구 종로3길 30 30 삼송빌딩,의료,신경/정신과 의원,37.5716446710579,126.979454587814
마마운동화빨래방,서울특별시 중랑구 공릉로 56 56,생활/편의,셀프 빨래방,37.6155432890577,127.079115161065
우리들의피부과,서울특별시 동대문구 고산자로 399 399 동양프라자,의료,피부/비뇨기과 의원,37.5752804377215,127.037764642582
한상드림등촌PM점,서울특별시 강서구 공항대로41길 66 66 세신등촌종합상가,생활/편의,반찬/식료품 소매업,37.5606267114858,126.846582940893
세븐일레븐구산헤일리점,서울특별시 은평구 연서로9길 14 14,생활/편의,편의점,37.6075914258036,126.913554513963
에스앤비스포츠,서울특별시 성북구 장위로38길 73 73,운동 시설,요가/필라테스 학원,37.6102426995506,127.051588260331
씨유청계포레스트힐,서울특별시 동대문구 청계천로 443 443 포레스트힐시티,생활/편의,편의점,37.5712740716048,127.02652212785
굿모닝마트,서울특별시 동대문구 왕산로 3 3,생활/편의,슈퍼마켓,37.5762121315989,127.023659798342
맘스테이블,서울특별시 송파구 동남로 211 211 영남빌딩,생활/편의,반찬/식료품 소매업,37.4963489876194,127.131245394595
세븐일레븐서울동부병원,서울특별시 동대문구 왕산로16길 48 48,생활/편의,편의점,37.5756607881492,127.031142404308
365매일한방병원,서울특별시 동대문구 천호대로 3 3 지,의료,한방병원,37.5753470365033,127.024350065775
테라피티,서울특별시 서초구 바우뫼로 177 177,운동 시설,헬스장,37.4785213068116,127.039389143595
세븐S여의나루역점주,서울특별시 영등포구 여의동로 280 280,생활/편의,편의점,37.5249679940267,126.939024388301
현대세탁소,서울특별시 강서구 양천로24길 63 63,생활/편의,세탁소,37.5704842200734,126.815535705612
오요가,서울특별시 마포구 굴레방로1길 25 25 애오개아이파크,운동 시설,요가/필라테스 학원,37.5538435746417,126.955987825023
삼양사,서울특별시 성북구 종암로19길 51-3 51,생활/편의,세탁소,37.5977618848835,127.032102807623
씨유청계,서울특별시 동대문구 무학로 69 69 E편한세상청계센트럴포레아파트,생활/편의,편의점,37.5706515386869,127.030053633444
진미반찬,서울특별시 양천구 목동중앙남로 50 50 일부,생활/편의,반찬/식료품 소매업,37.5382701461737,126.866520051877
디에스의원,서울특별시 강남구 압구정로 322 322,의료,피부/비뇨기과 의원,37.5285550100289,127.036700252712
전통활쏘기클럽,서울특별시 동대문구 하정로 8 8,운동 시설,헬스장,37.5717514808712,127.027043008048
화이트365제기동역점셀프빨래방,서울특별시 동대문구 왕산로16가길 36 36 우측호,생활/편의,셀프 빨래방,37.5771558548493,127.033282624162
이든피부과의원,서울특별시 성북구 도봉로 1 1,의료,피부/비뇨기과 의원,37.6091510121508,127.029774655807
현대할인마트,서울특별시 구로구 경인로 211 211,생활/편의,슈퍼마켓,37.496517367782,126.844192405878
지에스25광흥창역점,서울특별시 마포구 서강로 53 53 서강예가,생활/편의,편의점,37.5483626594792,126.931174482585
힐링운동샵,서울특별시 양천구 목동중앙남로10길 5 5,운동 시설,요가/필라테스 학원,37.5381983219137,126.866746474316
세븐일레븐신설진흥점,서울특별시 동대문구 천호대로2길 15 15,생활/편의,편의점,37.57434697667,127.02413465644
씨유청담현대점,서울특별시 강남구 도산대로101길 29 29 청담현대3차,생활/편의,편의점,37.527026136495,127.052978968087
씨유석촌,서울특별시 송파구 백제고분로 288 288 유천빌딩,생활/편의,편의점,37.5023183687146,127.098605876882
변한의원,서울특별시 강남구 남부순환로 2911 2911,의료,한의원,37.4924252271953,127.057952574763
은빛태권도,서울특별시 노원구 동일로245가길 41 41 은빛2단지,운동 시설,태권도/무술학원,37.680689631619,127.053802244702
수안과의원,서울특별시 강북구 도봉로 245 245 지,의료,안과 의원,37.6302984591064,127.024254696471
투데이,서울특별시 동대문구 천호대로 67 67,생활/편의,슈퍼마켓,37.5741291242693,127.031039885014
지에스25구로,서울특별시 구로구 경서로 55 55 일부,생활/편의,편의점,37.50200496008,126.85890565299
미니마트,서울특별시 금천구 시흥대로136길 24 24,생활/편의,슈퍼마켓,37.472097797065,126.900472932502
유니온크린,서울특별시 도봉구 시루봉로 197 197,생활/편의,세탁소,37.6668493877182,127.032438565237
세븐일레븐망원동교로점,서울특별시 마포구 동교로9길 83 83,생활/편의,편의점,37.5571497308977,126.908135104948
GS25창동성원,서울특별시 도봉구 도봉로106길 86 86,생활/편의,편의점,37.644863911937,127.037527901508
유원제일세탁소,서울특별시 서대문구 세검정로 134 134 유원하나아파트,생활/편의,세탁소,37.5946840732752,126.951910050746
라라핏필라테스,서울특별시 동대문구 무학로36길 32 32,운동 시설,요가/필라테스 학원,37.5773633446806,127.032343102436
강남성모원안과,서울특별시 서초구 강남대로85길 5 5 대유빌딩,의료,안과 의원,37.5073669514107,127.022597526467
얌이랩:맛있는한식연구소,서울특별시 영등포구 선유로51길 27 27,생활/편의,반찬/식료품 소매업,37.5376594645965,126.895305586207
지에스25구로한일점,서울특별시 구로구 중앙로15길 151 151 한일유앤아이아파트,생활/편의,편의점,37.5082134633826,126.852017371799
지에스25관악성진점,서울특별시 관악구 조원중앙로1길 54 54,생활/편의,편의점,37.4802348876849,126.901637962828
맥스웰성형외과,서울특별시 송파구 올림픽로 336 336 대우유토피아오피스텔,의료,피부/비뇨기과 의원,37.5153932320046,127.107457186727
백조명품크리닝,서울특별시 강남구 도산대로92길 6 6,생활/편의,세탁소,37.5240720226573,127.050295794398
GS25경희점,서울특별시 동대문구 경희대로3길 2 2,생활/편의,편의점,37.5927631450708,127.052357477834
이형창의원,서울특별시 도봉구 마들로 650 650 도봉월드상가,의료,피부/비뇨기과 의원,37.6680247400523,127.047071797293
호림치과의원,서울특별시 성동구 금호로 151 151,의료,치과의원,37.5543095717456,127.020121917189
크로스핏앤츠,서울특별시 도봉구 도봉로 454 454,운동 시설,헬스장,37.646234560018,127.033710011753
무노공방,서울특별시 종로구 필운대로1길 11 11,생활/편의,슈퍼마켓,37.5774717477362,126.9687096728
아현재한의원,서울특별시 양천구 목동서로 375 375,의료,한의원,37.5165513220657,126.862430066013
세븐일레븐신당,서울특별시 중구 다산로42길 12 12,생활/편의,편의점,37.5647255943705,127.016955471499
에이투피스포츠랩,서울특별시 강서구 화곡로72길 62 62 가양글로벌퍼스트,운동 시설,요가/필라테스 학원,37.5604167271166,126.858818213548
