RCPT_YR,CGG_CD,CGG_NM,STDG_CD,STDG_NM,LOTNO_SE,LOTNO_SE_NM,MNO,SNO,BLDG_NM,CTRT_DAY,THING_AMT,ARCH_AREA,LAND_AREA,FLR,RGHT_SE,RTRCN_DAY,ARCH_YR,BLDG_USG,DCLR_SE,OPBIZ_RESTAGNT_SGG_NM
2023,11380,은평구,10200,녹번동,1,대지,0152,0059,이지플아트빌(152-59),20240202,33500,43.04,37.0,2.0,,,2005.0,연립다세대,중개거래,서울 은평구
2023,11590,동작구,10700,사당동,,,,,,20240201,190000,148.23,202.7,,,,1970.0,단독다가구,중개거래,서울 강남구
2023,11590,동작구,10700,사당동,,,,,,20240201,90000,146.14,98.6,,,,1987.0,단독다가구,중개거래,서울 강남구
2023,11710,송파구,10400,송파동,1,대지,0095,0007,HANYANGLEEPS,20240123,11000,13.38,10.61,5.0,,,2012.0,연립다세대,중개거래,서울 송파구
2023,11530,구로구,10200,구로동,1,대지,0546,0017,오크트리빌구로1차,20240109,27300,29.29,20.2,3.0,,,2023.0,연립다세대,직거래,
2023,11530,구로구,10200,구로동,1,대지,0546,0017,오크트리빌구로1차,20240109,27050,29.29,20.2,2.0,,,2023.0,연립다세대,직거래,
2023,11530,구로구,10200,구로동,1,대지,0546,0017,오크트리빌구로1차,20240109,25500,26.85,18.52,3.0,,,2023.0,연립다세대,직거래,
2023,11530,구로구,10200,구로동,1,대지,0546,0017,오크트리빌구로1차,20240109,27750,29.02,20.02,4.0,,,2023.0,연립다세대,직거래,
2023,11530,구로구,10200,구로동,1,대지,0546,0017,오크트리빌구로1차,20240109,26300,29.05,20.04,4.0,,,2023.0,연립다세대,직거래,
2023,11530,구로구,10200,구로동,1,대지,0546,0017,오크트리빌구로1차,20240109,25300,26.85,18.52,2.0,,,2023.0,연립다세대,직거래,
2023,11530,구로구,10200,구로동,1,대지,0546,0017,오크트리빌구로1차,20240109,27250,29.18,20.13,5.0,,,2023.0,연립다세대,직거래,
2023,11530,구로구,10200,구로동,1,대지,0546,0017,오크트리빌구로1차,20240109,25650,26.85,18.52,4.0,,,2023.0,연립다세대,직거래,
2023,11530,구로구,10200,구로동,1,대지,0546,0017,오크트리빌구로1차,20240109,25650,26.85,18.52,5.0,,,2023.0,연립다세대,직거래,
2023,11530,구로구,10200,구로동,1,대지,0546,0017,오크트리빌구로1차,20240109,24200,26.48,18.26,4.0,,,2023.0,연립다세대,직거래,
2023,11530,구로구,10200,구로동,1,대지,0546,0017,오크트리빌구로1차,20240109,37800,42.06,29.01,5.0,,,2023.0,연립다세대,직거래,
2023,11530,구로구,10200,구로동,1,대지,0546,0017,오크트리빌구로1차,20240109,29550,29.99,20.69,3.0,,,2023.0,연립다세대,직거래,
2023,11530,구로구,10200,구로동,1,대지,0546,0017,오크트리빌구로1차,20240109,27750,29.96,20.66,2.0,,,2023.0,연립다세대,직거래,
2023,11530,구로구,10200,구로동,1,대지,0546,0017,오크트리빌구로1차,20240109,27450,29.29,20.2,4.0,,,2023.0,연립다세대,직거래,
2023,11530,구로구,10200,구로동,1,대지,0546,0017,오크트리빌구로1차,20240109,27450,29.29,20.2,5.0,,,2023.0,연립다세대,직거래,
2023,11530,구로구,10200,구로동,1,대지,0546,0017,오크트리빌구로1차,20240109,28050,29.96,20.66,3.0,,,2023.0,연립다세대,직거래,
2023,11530,구로구,10200,구로동,1,대지,0546,0017,오크트리빌구로1차,20240109,29250,29.99,20.69,2.0,,,2023.0,연립다세대,직거래,
2023,11530,구로구,10200,구로동,1,대지,0546,0017,오크트리빌구로1차,20240109,26750,28.97,19.98,2.0,,,2023.0,연립다세대,직거래,
